code_cis,denomination_substance,nom_com_prep
60002283,ANASTROZOLE,ANASTROZOLE ACCORD
60002504,RANITIDINE (CHLORHYDRATE DE),RANITIDINE BIOGARAN
60002504,RANITIDINE BASE,RANITIDINE BIOGARAN
60002746,ACTAEA RACEMOSA POUR PRÉPARATIONS HOMÉOPATHIQUES,ACTAEA RACEMOSA FERRIER CH CH DH DH
60002746,ACTAEA RACEMOSA POUR PRÉPARATIONS HOMÉOPATHIQUES,ACTAEA RACEMOSA FERRIER CH CH DH DH
60002867,"CURCUMA XANTHORRHIZA, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",CURCUMA XANTHORRHIZA WELEDA CH CH DH DH
60002867,"CURCUMA XANTHORRHIZA, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",CURCUMA XANTHORRHIZA WELEDA CH CH DH DH
60002867,"CURCUMA XANTHORRHIZA, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",CURCUMA XANTHORRHIZA WELEDA CH CH DH DH
60002867,"CURCUMA XANTHORRHIZA, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES",CURCUMA XANTHORRHIZA WELEDA CH CH DH DH
60003620,DIPROPIONATE DE BÉCLOMÉTASONE,BECLOSPIN
60004277,FÉNOFIBRATE,FENOFIBRATE TEVA
60004487,TRAMADOL,TRAMADOL EG LP
60004487,CHLORHYDRATE DE TRAMADOL,TRAMADOL EG LP
60005856,FAMOTIDINE,FAMOTIDINE EG
60005952,RHODODENDRON FERRUGINEUM POUR PRÉPARATIONS HOMÉOPATHIQUES,RHODODENDRON FERRUGINEUM WELEDA CH CH DH DH
60005952,RHODODENDRON FERRUGINEUM POUR PRÉPARATIONS HOMÉOPATHIQUES,RHODODENDRON FERRUGINEUM WELEDA CH CH DH DH
60006246,CHLORHYDRATE D'ÉPIRUBICINE,FARMORUBICINE
60007437,ATORVASTATINE,ATORVASTATINE TEVA SANTE
60007437,ATORVASTATINE CALCIQUE,ATORVASTATINE TEVA SANTE
60007960,SULFATE DE ZINC,AFTAGEL
60007960,CHLORHYDRATE DE LIDOCAÏNE,AFTAGEL
60008845,GLUCOSE ANHYDRE,GLUCOSE BIOSEDRA POUR CENT
60008845,GLUCOSE MONOHYDRATÉ,GLUCOSE BIOSEDRA POUR CENT
60008927,RIVASTIGMINE,RIVASTIGMINE EG
60008927,HYDROGÉNOTARTRATE DE RIVASTIGMINE,RIVASTIGMINE EG
60009573,PARACÉTAMOL,PARACETAMOLCODEINE TEVA
60009573,PHOSPHATE DE CODÉINE HÉMIHYDRATÉ,PARACETAMOLCODEINE TEVA
60010084,THIOPENTAL ET CARBONATE SODIQUES,THIOPENTAL VUAB
60010084,THIOPENTAL SODIQUE,THIOPENTAL VUAB
60010166,CHLORURE DE SODIUM,CHLORURE DE SODIUM PROAMP
60010885,CIPROFLOXACINE,CIPROFLOXACINE SUN
60010885,CHLORHYDRATE DE CIPROFLOXACINE,CIPROFLOXACINE SUN
60010967,NITRATE DE FENTICONAZOLE,TERLOMEXIN
60010967,FENTICONAZOLE BASE,TERLOMEXIN
60014894,NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES,FAMENPAX
60014894,BORAX,FAMENPAX
60014894,ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,FAMENPAX
60014894,TABACUM POUR PRÉPARATIONS HOMÉOPATHIQUES,FAMENPAX
60014894,SEPIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES,FAMENPAX
60014894,COCCULUS INDICUS POUR PRÉPARATIONS HOMÉOPATHIQUES,FAMENPAX
60015448,GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,GELSEMIUM LEHNING CH CH DH DH
60015448,GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,GELSEMIUM LEHNING CH CH DH DH
60015448,GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,GELSEMIUM LEHNING CH CH DH DH
60015448,GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,GELSEMIUM LEHNING CH CH DH DH
60015448,GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,GELSEMIUM LEHNING CH CH DH DH
60015448,GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,GELSEMIUM LEHNING CH CH DH DH
60016308,CARVÉDILOL,CARVEDILOL MYLAN
60016589,LÉVOCARNITINE,LEVOCARNIL
60018088,PRÉGABALINE,LYRICA
60018444,ENTÉCAVIR MONOHYDRATÉ,ENTECAVIR TEVA
60018444,ENTÉCAVIR,ENTECAVIR TEVA
60018896,TOSILATE DE PÉRINDOPRIL,PERINDOPRIL TOSILATE TEVA
60018896,PÉRINDOPRIL,PERINDOPRIL TOSILATE TEVA
60019101,CROMOGLICATE DE SODIUM,OPTICRON POUR CENT
60019329,HYDROGÉNOSUCCINATE DE DOXYLAMINE,DOXYLAMINE CRISTERS
60019350,ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES,ARNIGEL
60019927,AMISULPRIDE,SOLIAN
60021127,SPIRONOLACTONE,SPIRONOLACTONE MYLAN
60021216,DIPYRIDAMOLE,PERSANTINE
60021312,PROPIONATE DE CLOBÉTASOL,CLARELUX
60021771,TÉTRADÉCYL SULFATE DE SODIUM,FIBROVEIN
60021928,SILODOSINE,SILODOSINE MYLAN
60022275,TRINITRINE,EPINITRIL
60023270,DORZOLAMIDE,DORZOLAMIDE CRISTERS
60023270,CHLORHYDRATE DE DORZOLAMIDE,DORZOLAMIDE CRISTERS
60025054,RIOCIGUAT,ADEMPAS
60025314,MACROGOL 3350,MACROGOL MAYOLY SPINDLER
60025403,PARACÉTAMOL,EFFERALGAN
60026494,PÉLARGONIUM (EXTRAIT FLUIDE DE RACINE DE),KALOBA
60026957,GLIBENCLAMIDE,GLIBENCLAMIDE TEVA
60027685,PENTOSANE POLYSULFATE SODIQUE,ELMIRON
60028050,GABAPENTINE,GABAPENTINE RANBAXY
60028495,PARACÉTAMOL,DOLIRHUMEPRO PARACETAMOL PSEUDOEPHEDRINE ET DOXYLAMINE
60028495,CHLORHYDRATE DE PSEUDOÉPHÉDRINE,DOLIRHUMEPRO PARACETAMOL PSEUDOEPHEDRINE ET DOXYLAMINE
60028495,PARACÉTAMOL,DOLIRHUMEPRO PARACETAMOL PSEUDOEPHEDRINE ET DOXYLAMINE
60028495,HYDROGÉNOSUCCINATE DE DOXYLAMINE,DOLIRHUMEPRO PARACETAMOL PSEUDOEPHEDRINE ET DOXYLAMINE
60028552,BÉSILATE D'ATRACURIUM,TRACRIUM POUR CENT
60028680,CALCAREA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES,CALCAREA IODATA WELEDA CH CH DH DH
60028680,CALCAREA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES,CALCAREA IODATA WELEDA CH CH DH DH
60028680,CALCAREA IODATA POUR PRÉPARATIONS HOMÉOPATHIQUES,CALCAREA IODATA WELEDA CH CH DH DH
60029394,TADALAFIL,TADALAFIL EG
60030980,SÉNÉ (FEUILLE DE),MEDIFLOR N CONTRE LA CONSTIPATION PASSAGERE
60031071,ARIPIPRAZOLE,ARIPIPRAZOLE SANDOZ
60031527,PANTOPRAZOLE,EUPANTOL
60031527,PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ,EUPANTOL
60031954,PÉRINDOPRIL TERT-BUTYLAMINE,PERINDOPRIL EVOLUGEN
60031954,PÉRINDOPRIL,PERINDOPRIL EVOLUGEN
60033510,CHLORHYDRATE DE VANCOMYCINE,VANCOMYCINE MYLAN
60034085,MIDAZOLAM,BUCCOLAM
60034085,CHLORHYDRATE DE MIDAZOLAM,BUCCOLAM
60034644,CHLORURE DE ZINC,SYNACTHENE RETARD IM
